project_id,project_name,status,next_step,year,item,item_status
avalia,Avalia,Em desenvolvimento do MVP,Teste com o departamento Digital,2025,Início do desenvolvimento,Concluído
avalia,Avalia,Em desenvolvimento do MVP,Teste com o departamento Digital,2025,Tela de projeto,Concluído
avalia,Avalia,Em desenvolvimento do MVP,Teste com o departamento Digital,2025,Tela de descrição,Concluído
avalia,Avalia,Em desenvolvimento do MVP,Teste com o departamento Digital,2025,Tela de perfil,Concluído
avalia,Avalia,Em desenvolvimento do MVP,Teste com o departamento Digital,2025,Tela de usuários,Concluído
avalia,Avalia,Em desenvolvimento do MVP,Teste com o departamento Digital,2025,Conexão com o Supabase storage,Concluído
avalia,Avalia,Em desenvolvimento do MVP,Teste com o departamento Digital,2025,Autenticação funcional,Concluído
avalia,Avalia,Em desenvolvimento do MVP,Teste com o departamento Digital,2025,Upload e processamento de .docx,Concluído
avalia,Avalia,Em desenvolvimento do MVP,Teste com o departamento Digital,2025,Conexão com API da Dorina IA,Concluído
avalia,Avalia,Em desenvolvimento do MVP,Teste com o departamento Digital,2025,Mudança automática de status,Concluído
avalia,Avalia,Em desenvolvimento do MVP,Teste com o departamento Digital,2025,Inserção de páginas,Concluído
avalia,Avalia,Em desenvolvimento do MVP,Teste com o departamento Digital,2025,Exportar .docx com as imagens,Em andamento
avalia,Avalia,Em desenvolvimento do MVP,Teste com o departamento Digital,2026,Dashboard,Planejado
avalia,Avalia,Em desenvolvimento do MVP,Teste com o departamento Digital,2026,Ajustes na função comentários,Planejado
avalia,Avalia,Em desenvolvimento do MVP,Teste com o departamento Digital,2026,Ajuste na relação com arquivos emf,Em andamento
clockfacil,Clockfácil,Pausado,Teste com o departamento Gráfica,2024,Levantamento de specs,Concluído
clockfacil,Clockfácil,Pausado,Teste com o departamento Gráfica,2024,Criação do banco de dados,Concluído
clockfacil,Clockfácil,Pausado,Teste com o departamento Gráfica,2024,Construção da lógica principal do backend,Concluído
clockfacil,Clockfácil,Pausado,Teste com o departamento Gráfica,2024,Implementação do fluxo de registro,Concluído
clockfacil,Clockfácil,Pausado,Teste com o departamento Gráfica,2024,Criada página de registro de horário,Concluído
clockfacil,Clockfácil,Pausado,Teste com o departamento Gráfica,2025,Validada a lógica de funcionamento,Concluído
clockfacil,Clockfácil,Pausado,Teste com o departamento Gráfica,2025,MVP pronto para teste,Concluído
clockfacil,Clockfácil,Pausado,Teste com o departamento Gráfica,2025,Teste em tablets,Concluído
clockfacil,Clockfácil,Pausado,Teste com o departamento Gráfica,2025,Disponibilizar no servidor interno,Planejado
clockfacil,Clockfácil,Pausado,Teste com o departamento Gráfica,2025,Conectar ao Clockfy,Planejado
conor,Conor,Em desenvolvimento do MVP,Concluir testes iniciais de funcionamento,2025,Início do desenvolvimento,Concluído
conor,Conor,Em desenvolvimento do MVP,Concluir testes iniciais de funcionamento,2025,Upload de excel,Concluído
conor,Conor,Em desenvolvimento do MVP,Concluir testes iniciais de funcionamento,2025,Conexão com o Supabase,Concluído
conor,Conor,Em desenvolvimento do MVP,Concluir testes iniciais de funcionamento,2025,Ajuste de layout e UI/UX,Concluído
conor,Conor,Em desenvolvimento do MVP,Concluir testes iniciais de funcionamento,2025,Implementada lógica de login,Concluído
conor,Conor,Em desenvolvimento do MVP,Concluir testes iniciais de funcionamento,2025,Ajustada aba Orçamentos,Concluído
conor,Conor,Em desenvolvimento do MVP,Concluir testes iniciais de funcionamento,2025,Ajustada aba Despesas,Concluído
conor,Conor,Em desenvolvimento do MVP,Concluir testes iniciais de funcionamento,2025,Criada tela de perfil,Concluído
conor,Conor,Em desenvolvimento do MVP,Concluir testes iniciais de funcionamento,2025,Correção na tela de Admin,Concluído
conor,Conor,Em desenvolvimento do MVP,Concluir testes iniciais de funcionamento,2025,Correção nos papéis dos usuários,Concluído
conor,Conor,Em desenvolvimento do MVP,Concluir testes iniciais de funcionamento,2025,Atualização database no Supabase,Concluído
conor,Conor,Em desenvolvimento do MVP,Concluir testes iniciais de funcionamento,2025,Corrigido upload de arquivos,Concluído
conor,Conor,Em desenvolvimento do MVP,Concluir testes iniciais de funcionamento,2026,Testes internos de funcionalidade,Planejado
conor,Conor,Em desenvolvimento do MVP,Concluir testes iniciais de funcionamento,2026,Deploy do MVP,Planejado
conor,Conor,Em desenvolvimento do MVP,Concluir testes iniciais de funcionamento,2026,Teste com grupo reduzido de usuários,Planejado
dorina-ia,Dorina IA,"Treinamento focado no Digital; Ajustes de acessibilidade na Plataforma",Fine-tuning genérico para o Braille,2024,Divisão de categorias de imagem,Concluído
dorina-ia,Dorina IA,"Treinamento focado no Digital; Ajustes de acessibilidade na Plataforma",Fine-tuning genérico para o Braille,2024,Levantamento de specs dos departamentos Braille e Digital,Concluído
dorina-ia,Dorina IA,"Treinamento focado no Digital; Ajustes de acessibilidade na Plataforma",Fine-tuning genérico para o Braille,2024,Engenharia de prompt Braille,Concluído
dorina-ia,Dorina IA,"Treinamento focado no Digital; Ajustes de acessibilidade na Plataforma",Fine-tuning genérico para o Braille,2024,Engenharia de prompt Digital,Concluído
dorina-ia,Dorina IA,"Treinamento focado no Digital; Ajustes de acessibilidade na Plataforma",Fine-tuning genérico para o Braille,2024,Levantamento de dataset braille,Concluído
dorina-ia,Dorina IA,"Treinamento focado no Digital; Ajustes de acessibilidade na Plataforma",Fine-tuning genérico para o Braille,2024,Implementado primeiro fine-tuning Braille,Concluído
dorina-ia,Dorina IA,"Treinamento focado no Digital; Ajustes de acessibilidade na Plataforma",Fine-tuning genérico para o Braille,2024,Levantamento de dataset Digital,Concluído
dorina-ia,Dorina IA,"Treinamento focado no Digital; Ajustes de acessibilidade na Plataforma",Fine-tuning genérico para o Braille,2024,Implementado fine-tuning Digital para Ilustração,Concluído
dorina-ia,Dorina IA,"Treinamento focado no Digital; Ajustes de acessibilidade na Plataforma",Fine-tuning genérico para o Braille,2024,Implementado fine-tuning Digital para Mapas,Concluído
dorina-ia,Dorina IA,"Treinamento focado no Digital; Ajustes de acessibilidade na Plataforma",Fine-tuning genérico para o Braille,2024,Grupo de Estudos de Mapas,Concluído
dorina-ia,Dorina IA,"Treinamento focado no Digital; Ajustes de acessibilidade na Plataforma",Fine-tuning genérico para o Braille,2025,Alteração completa do design da plataforma,Concluído
dorina-ia,Dorina IA,"Treinamento focado no Digital; Ajustes de acessibilidade na Plataforma",Fine-tuning genérico para o Braille,2025,Teste de acessibilidade e usabilidade,Concluído
dorina-ia,Dorina IA,"Treinamento focado no Digital; Ajustes de acessibilidade na Plataforma",Fine-tuning genérico para o Braille,2025,Criação da Central de Ajuda - JSM,Concluído
dorina-ia,Dorina IA,"Treinamento focado no Digital; Ajustes de acessibilidade na Plataforma",Fine-tuning genérico para o Braille,2025,Início da redação do Manual de descrição de mapas,Concluído
dorina-ia,Dorina IA,"Treinamento focado no Digital; Ajustes de acessibilidade na Plataforma",Fine-tuning genérico para o Braille,2025,Implementado fine-tuning Braille para Mapas - EF II,Concluído
dorina-ia,Dorina IA,"Treinamento focado no Digital; Ajustes de acessibilidade na Plataforma",Fine-tuning genérico para o Braille,2025,Implementado fine-tuning Braille genérico,Concluído
dorina-ia,Dorina IA,"Treinamento focado no Digital; Ajustes de acessibilidade na Plataforma",Fine-tuning genérico para o Braille,2025,Implementado fine-tuning Braille Mapas - EF I,Em andamento
dorina-ia,Dorina IA,"Treinamento focado no Digital; Ajustes de acessibilidade na Plataforma",Fine-tuning genérico para o Braille,2025,Implementado fine-tuning para o marketing,Concluído
dorina-ia,Dorina IA,"Treinamento focado no Digital; Ajustes de acessibilidade na Plataforma",Fine-tuning genérico para o Braille,2025,Engenharia de prompt digital,Em andamento
dorina-ia,Dorina IA,"Treinamento focado no Digital; Ajustes de acessibilidade na Plataforma",Fine-tuning genérico para o Braille,2025,Correção de acessibilidade da plataforma,Em andamento
dorina-ia,Dorina IA,"Treinamento focado no Digital; Ajustes de acessibilidade na Plataforma",Fine-tuning genérico para o Braille,2026,Pesquisa sobre uso de IA,Planejado
dorina-ia,Dorina IA,"Treinamento focado no Digital; Ajustes de acessibilidade na Plataforma",Fine-tuning genérico para o Braille,2026,"Pesquisa sobre aplicabilidade de simbologia e cores em mapas",Planejado
dorina-ia,Dorina IA,"Treinamento focado no Digital; Ajustes de acessibilidade na Plataforma",Fine-tuning genérico para o Braille,2026,Levantar dataset para infográficos,Planejado
dorina-ia,Dorina IA,"Treinamento focado no Digital; Ajustes de acessibilidade na Plataforma",Fine-tuning genérico para o Braille,2026,Levantar dataset para HQS,Planejado
dorina-ia,Dorina IA,"Treinamento focado no Digital; Ajustes de acessibilidade na Plataforma",Fine-tuning genérico para o Braille,2026,Conclusão do Manual de descrição de mapas,Planejado
linear,Linear,Pausado o desenvolvimento,Desenvolver pré-processamento para extrair negrito e itálico,2025,Criar a base funcional que transforma PDFs em imagens,Concluído
linear,Linear,Pausado o desenvolvimento,Desenvolver pré-processamento para extrair negrito e itálico,2025,Gerar descrições via LLM,Concluído
linear,Linear,Pausado o desenvolvimento,Desenvolver pré-processamento para extrair negrito e itálico,2025,Gerar página em JSON,Concluído
linear,Linear,Pausado o desenvolvimento,Desenvolver pré-processamento para extrair negrito e itálico,2025,Criar plataforma de teste da ferramenta,Concluído
linear,Linear,Pausado o desenvolvimento,Desenvolver pré-processamento para extrair negrito e itálico,2025,Criar a base funcional que transforma PDFs em imagens,Concluído
linear,Linear,Pausado o desenvolvimento,Desenvolver pré-processamento para extrair negrito e itálico,2025,QA Teste - Testar prompt para extrair a estrutura correta,Concluído
linear,Linear,Pausado o desenvolvimento,Desenvolver pré-processamento para extrair negrito e itálico,2025,Desenvolver pré-processamento para extrair negrito e itálico,Em andamento
linear,Linear,Pausado o desenvolvimento,Desenvolver pré-processamento para extrair negrito e itálico,2025,Mergear marcações com o JSON gerado pela LLM,Planejado
linear,Linear,Pausado o desenvolvimento,Desenvolver pré-processamento para extrair negrito e itálico,2026,Criar banco de dados para salvar as imagens,Planejado
linear,Linear,Pausado o desenvolvimento,Desenvolver pré-processamento para extrair negrito e itálico,2026,Desenvolver plataforma de produção,Planejado
linear,Linear,Pausado o desenvolvimento,Desenvolver pré-processamento para extrair negrito e itálico,2026,Aplicar fila de processamento,Planejado
linear,Linear,Pausado o desenvolvimento,Desenvolver pré-processamento para extrair negrito e itálico,2026,Desenvolver integração com a Dorina IA,Planejado
linear,Linear,Pausado o desenvolvimento,Desenvolver pré-processamento para extrair negrito e itálico,2026,Início dos testes de integração com Google Vision API,Planejado
linear,Linear,Pausado o desenvolvimento,Desenvolver pré-processamento para extrair negrito e itálico,2026,"Mapeamento do ""Conheça seu livro"" como referência de estilo",Planejado
linear,Linear,Pausado o desenvolvimento,Desenvolver pré-processamento para extrair negrito e itálico,2026,Capturar posição/estrutura visual para HTML/EPUB,Planejado
linear,Linear,Pausado o desenvolvimento,Desenvolver pré-processamento para extrair negrito e itálico,2026,Adaptar a PB para receber JSON,Planejado
linear,Linear,Pausado o desenvolvimento,Desenvolver pré-processamento para extrair negrito e itálico,2026,Adaptar a PB para exportar JSON,Planejado
linear,Linear,Pausado o desenvolvimento,Desenvolver pré-processamento para extrair negrito e itálico,2026,Integração com a PB,Planejado
linear,Linear,Pausado o desenvolvimento,Desenvolver pré-processamento para extrair negrito e itálico,2026,Teste ponta a ponta,Planejado
linear,Linear,Pausado o desenvolvimento,Desenvolver pré-processamento para extrair negrito e itálico,2026,Correção pós-teste,Planejado
linear,Linear,Pausado o desenvolvimento,Desenvolver pré-processamento para extrair negrito e itálico,2026,Piloto em produção,Planejado
linear,Linear,Pausado o desenvolvimento,Desenvolver pré-processamento para extrair negrito e itálico,2026,Correção pós-piloto,Planejado
linear,Linear,Pausado o desenvolvimento,Desenvolver pré-processamento para extrair negrito e itálico,2026,Início da captura de dataset para fine-tuning,Planejado
